Profile,Mode,Repetition,Sample_Index,Latency_ms
R2,SEMANTICSHIELD,2,19,0.8098
R2,SEMANTICSHIELD,2,20,0.8691
R2,SEMANTICSHIELD,3,1,0.9544
R2,SEMANTICSHIELD,3,2,0.8533
R2,SEMANTICSHIELD,3,3,0.9561
R2,SEMANTICSHIELD,3,4,0.8738
R2,SEMANTICSHIELD,3,5,1.5440
R2,SEMANTICSHIELD,3,6,1.0049
R2,SEMANTICSHIELD,3,7,0.9181
R2,SEMANTICSHIELD,3,8,0.8720
R2,SEMANTICSHIELD,3,9,0.8476
R2,SEMANTICSHIELD,3,10,0.9030
R2,SEMANTICSHIELD,3,11,0.8535
R2,SEMANTICSHIELD,3,12,0.8059
R2,SEMANTICSHIELD,3,13,0.9203
R2,SEMANTICSHIELD,3,14,0.8114
R2,SEMANTICSHIELD,3,15,0.8741
R2,SEMANTICSHIELD,3,16,0.8106
R2,SEMANTICSHIELD,3,17,0.8023
R2,SEMANTICSHIELD,3,18,0.9331
R2,SEMANTICSHIELD,3,19,0.8098
R2,SEMANTICSHIELD,3,20,0.8691
R2,SEMANTICSHIELD,4,1,0.9544
R2,SEMANTICSHIELD,4,2,0.8533
R2,SEMANTICSHIELD,4,3,0.9561
R2,SEMANTICSHIELD,4,4,0.8738
R2,SEMANTICSHIELD,4,5,1.5440
R2,SEMANTICSHIELD,4,6,1.0049
R2,SEMANTICSHIELD,4,7,0.9181
R2,SEMANTICSHIELD,4,8,0.8720
R2,SEMANTICSHIELD,4,9,0.8476
R2,SEMANTICSHIELD,4,10,0.9030
R2,SEMANTICSHIELD,4,11,0.8535
R2,SEMANTICSHIELD,4,12,0.8059
R2,SEMANTICSHIELD,4,13,0.9203
R2,SEMANTICSHIELD,4,14,0.8114
R2,SEMANTICSHIELD,4,15,0.8741
R2,SEMANTICSHIELD,4,16,0.8106
R2,SEMANTICSHIELD,4,17,0.8023
R2,SEMANTICSHIELD,4,18,0.9331
R2,SEMANTICSHIELD,4,19,0.8098
R2,SEMANTICSHIELD,4,20,0.8691
R2,SEMANTICSHIELD,5,1,0.9544
R2,SEMANTICSHIELD,5,2,0.8533
R2,SEMANTICSHIELD,5,3,0.9561
R2,SEMANTICSHIELD,5,4,0.8738
R2,SEMANTICSHIELD,5,5,1.5440
R2,SEMANTICSHIELD,5,6,1.0049
R2,SEMANTICSHIELD,5,7,0.9181
R2,SEMANTICSHIELD,5,8,0.8720
R2,SEMANTICSHIELD,5,9,0.8476
R2,SEMANTICSHIELD,5,10,0.9030
R2,SEMANTICSHIELD,5,11,0.8535
R2,SEMANTICSHIELD,5,12,0.8059
R2,SEMANTICSHIELD,5,13,0.9203
R2,SEMANTICSHIELD,5,14,0.8114
R2,SEMANTICSHIELD,5,15,0.8741
R2,SEMANTICSHIELD,5,16,0.8106
R2,SEMANTICSHIELD,5,17,0.8023
R2,SEMANTICSHIELD,5,18,0.9331
R2,SEMANTICSHIELD,5,19,0.8098
R2,SEMANTICSHIELD,5,20,0.8691
R3,Plain_ONNX,1,1,0.3351
R3,Plain_ONNX,1,2,0.2701
R3,Plain_ONNX,1,3,0.2619
R3,Plain_ONNX,1,4,0.2617
R3,Plain_ONNX,1,5,0.2594
R3,Plain_ONNX,1,6,0.2619
R3,Plain_ONNX,1,7,0.2598
R3,Plain_ONNX,1,8,0.2964
R3,Plain_ONNX,1,9,0.2661
R3,Plain_ONNX,1,10,0.2656
R3,Plain_ONNX,1,11,0.2650
R3,Plain_ONNX,1,12,0.3415
R3,Plain_ONNX,1,13,0.2663
R3,Plain_ONNX,1,14,0.2626
R3,Plain_ONNX,1,15,0.2967
R3,Plain_ONNX,1,16,0.2682
